Symbol,Company Name,Security Name,Market Category,Test Issue,Financial Status,Round Lot Size
PPBI,Pacific Premier Bancorp Inc,Pacific Premier Bancorp Inc - Common Stock,Q,N,N,100.0
PPC,Pilgrim's Pride Corporation,Pilgrim's Pride Corporation - Common Stock,Q,N,N,100.0
PPSI,"Pioneer Power Solutions, Inc.","Pioneer Power Solutions, Inc. - Common Stock",S,N,N,100.0
PRAA,"PRA Group, Inc.","PRA Group, Inc. - Common Stock",Q,N,N,100.0
PRFT,"Perficient, Inc.","Perficient, Inc. - Common Stock",Q,N,N,100.0
PRFZ,PowerShares FTSE RAFI US 1500 Small,PowerShares FTSE RAFI US 1500 Small-Mid Portfolio,G,N,N,100.0
PRGS,Progress Software Corporation,Progress Software Corporation - Common Stock,Q,N,N,100.0
PRIM,Primoris Services Corporation,Primoris Services Corporation - Common Stock,Q,N,N,100.0
PRKR,"ParkerVision, Inc.","ParkerVision, Inc. - Common Stock",S,N,N,100.0
PRMW,Primo Water Corporation,Primo Water Corporation - Common Stock,G,N,N,100.0
PROV,"Provident Financial Holdings, Inc.","Provident Financial Holdings, Inc. - Common Stock",Q,N,N,100.0
PRPH,"ProPhase Labs, Inc.","ProPhase Labs, Inc. - Common Stock",G,N,N,100.0
PRQR,ProQR Therapeutics N.V.,ProQR Therapeutics N.V. - Ordinary Shares,G,N,N,100.0
PRTA,Prothena Corporation plc,Prothena Corporation plc - Ordinary Shares,Q,N,N,100.0
PRTK,"Paratek Pharmaceuticals, Inc.","Paratek Pharmaceuticals, Inc.  - Common Stock",G,N,N,100.0
PRTS,"U.S. Auto Parts Network, Inc.","U.S. Auto Parts Network, Inc. - Common Stock",Q,N,N,100.0
PSCC,PowerShares S&P SmallCap Consumer Staples Portfolio,PowerShares S&P SmallCap Consumer Staples Portfolio,G,N,N,100.0
PSCD,PowerShares S&P SmallCap Consumer Discretionary Portfolio,PowerShares S&P SmallCap Consumer Discretionary Portfolio,G,N,N,100.0
PSCE,PowerShares S&P SmallCap Energy Portfolio,PowerShares S&P SmallCap Energy Portfolio,G,N,N,100.0
PSCF,PowerShares S&P SmallCap Financials Portfolio,PowerShares S&P SmallCap Financials Portfolio,G,N,N,100.0
PSCH,PowerShares S&P SmallCap Health Care Portfolio,PowerShares S&P SmallCap Health Care Portfolio,G,N,N,100.0
PSCI,PowerShares S&P SmallCap Industrials Portfolio,PowerShares S&P SmallCap Industrials Portfolio,G,N,N,100.0
